name,qid,measure,value
BR(BM25),1006728,nDCG@10,0.16591790336374457
BR(BM25),1006728,AP(rel=2)@100,0.0
BR(BM25),1040198,nDCG@10,0.5523357231227658
BR(BM25),1040198,AP(rel=2)@100,0.2429398601486123
BR(BM25),1104300,nDCG@10,0.8639589741836383
BR(BM25),1104300,AP(rel=2)@100,0.3599562764784811
BR(BM25),1104447,nDCG@10,0.33405144466421555
BR(BM25),1104447,AP(rel=2)@100,0.049098474028388184
BR(BM25),1107704,nDCG@10,0.0870756265625123
BR(BM25),1107704,AP(rel=2)@100,0.023809523809523808
BR(BM25),1107821,nDCG@10,0.7112874991852932
BR(BM25),1107821,AP(rel=2)@100,0.2733329667624377
BR(BM25),1109840,nDCG@10,0.4368178636582164
BR(BM25),1109840,AP(rel=2)@100,0.041865477226491546
BR(BM25),1110996,nDCG@10,0.06319224291303384
BR(BM25),1110996,AP(rel=2)@100,0.005433409825775638
BR(BM25),1111577,nDCG@10,0.368277607674933
BR(BM25),1111577,AP(rel=2)@100,0.24818109438427696
BR(BM25),1113361,nDCG@10,0.2932589970678376
BR(BM25),1113361,AP(rel=2)@100,0.19400918606587458
BR(BM25),1117243,nDCG@10,0.6779444671118404
BR(BM25),1117243,AP(rel=2)@100,0.05571913511786377
BR(BM25),1118716,nDCG@10,0.4774393774236649
BR(BM25),1118716,AP(rel=2)@100,0.037499230232794244
BR(BM25),1121909,nDCG@10,0.5601569192044649
BR(BM25),1121909,AP(rel=2)@100,0.11319911858974357
BR(BM25),112700,nDCG@10,0.4119848117248526
BR(BM25),112700,AP(rel=2)@100,0.0
BR(BM25),1128632,nDCG@10,0.9008636626471189
BR(BM25),1128632,AP(rel=2)@100,0.26443688405421634
BR(BM25),1129560,nDCG@10,0.24746441433127497
BR(BM25),1129560,AP(rel=2)@100,0.012084367599281309
BR(BM25),168329,nDCG@10,0.7033486277163467
BR(BM25),168329,AP(rel=2)@100,0.20041758800766593
BR(BM25),190623,nDCG@10,0.1257613989752466
BR(BM25),190623,AP(rel=2)@100,0.046474358974358976
BR(BM25),2082,nDCG@10,0.8448632487128079
BR(BM25),2082,AP(rel=2)@100,0.12566275224127518
BR(BM25),226975,nDCG@10,0.178678544127957
BR(BM25),226975,AP(rel=2)@100,0.03589900362318841
BR(BM25),23287,nDCG@10,0.19995392655442454
BR(BM25),23287,AP(rel=2)@100,0.06833930168775904
BR(BM25),237669,nDCG@10,0.4980362962972259
BR(BM25),237669,AP(rel=2)@100,0.00874970117140808
BR(BM25),253263,nDCG@10,0.4803280232919482
