name,qid,measure,value
BR(BM25),2000511,nDCG@10,0.609255040790791
BR(BM25),2000511,AP(rel=2)@100,0.1824618736383442
BR(BM25),2000719,nDCG@10,0.23208393169441727
BR(BM25),2000719,AP(rel=2)@100,0.021558221546239275
BR(BM25),2001532,nDCG@10,0.2624930218003897
BR(BM25),2001532,AP(rel=2)@100,0.040284634074343864
BR(BM25),2001908,nDCG@10,0.14924501763837775
BR(BM25),2001908,AP(rel=2)@100,0.010007372712290744
BR(BM25),2001975,nDCG@10,0.33465733009546195
BR(BM25),2001975,AP(rel=2)@100,0.010614570614570613
BR(BM25),2002146,nDCG@10,0.0
BR(BM25),2002146,AP(rel=2)@100,0.012262850942821528
BR(BM25),2002269,nDCG@10,0.24244328143684063
BR(BM25),2002269,AP(rel=2)@100,0.000992296043280572
BR(BM25),2002533,nDCG@10,0.0
BR(BM25),2002533,AP(rel=2)@100,0.0
BR(BM25),2002798,nDCG@10,0.342191536298831
BR(BM25),2002798,AP(rel=2)@100,0.006272297838955102
BR(BM25),2003157,nDCG@10,0.31212640393368274
BR(BM25),2003157,AP(rel=2)@100,0.010989010989010988
BR(BM25),2003322,nDCG@10,0.692287543504968
BR(BM25),2003322,AP(rel=2)@100,0.06142480010100205
BR(BM25),2003976,nDCG@10,0.26424053216280696
BR(BM25),2003976,AP(rel=2)@100,0.02837465564738292
BR(BM25),2004237,nDCG@10,0.3101895926877409
BR(BM25),2004237,AP(rel=2)@100,0.0034495892951775307
BR(BM25),2004253,nDCG@10,0.44857357602827724
BR(BM25),2004253,AP(rel=2)@100,0.03840850754114502
BR(BM25),2005810,nDCG@10,0.0
BR(BM25),2005810,AP(rel=2)@100,0.0
BR(BM25),2005861,nDCG@10,0.0
BR(BM25),2005861,AP(rel=2)@100,0.0
BR(BM25),2006211,nDCG@10,0.5077504328240419
BR(BM25),2006211,AP(rel=2)@100,0.2826702955934326
BR(BM25),2006375,nDCG@10,0.2930306784628524
BR(BM25),2006375,AP(rel=2)@100,0.022384688809356224
BR(BM25),2006394,nDCG@10,0.31139917302028136
BR(BM25),2006394,AP(rel=2)@100,0.0056022408963585435
BR(BM25),2006627,nDCG@10,0.0
BR(BM25),2006627,AP(rel=2)@100,0.003941648926960124
BR(BM25),2007055,nDCG@10,0.53668196104968
BR(BM25),2007055,AP(rel=2)@100,0.05815894700763741
BR(BM25),2007419,nDCG@10,0.14465249243306438
BR(BM25),2007419,AP(rel=2)@100,0.06539989861769922
BR(BM25),2008871,nDCG@10,0.6572732386765784
BR(BM25),2008871,AP(rel=2)@100,0.0969342023357185
BR(BM25),2009553,nDCG@10,0.11301700931073562
BR(BM25),2009553,AP(rel=2)@100,0.05555555555555555
BR(BM25),2009871,nDCG@10,0.07336392209936005
BR(BM25),2009871,AP(rel=2)@100,0.007207126630251031
BR(BM25),2012431,nDCG@10,0.514891913580772
BR(BM25),2012431,AP(rel=2)@100,0.08161402349953041
BR(BM25),2012536,nDCG@10,0.5078559478524218
BR(BM25),2012536,AP(rel=2)@100,0.010474444940388305
BR(BM25),2013306,nDCG@10,0.8512360941594272
BR(BM25),2013306,AP(rel=2)@100,0.00028047124003028256
BR(BM25),2016333,nDCG@10,0.48574490719222113
BR(BM25),2016333,AP(rel=2)@100,0.02629823319248428
BR(BM25),2017299,nDCG@10,0.38680069142054607
BR(BM25),2017299,AP(rel=2)@100,0.0019157088122605363
BR(BM25),2025747,nDCG@10,0.4869680380353027
BR(BM25),2025747,AP(rel=2)@100,0.05808431334747124
BR(BM25),2026150,nDCG@10,0.22979561007468535
BR(BM25),2026150,AP(rel=2)@100,0.05309516564531012
BR(BM25),2026558,nDCG@10,0.17169261031494448
BR(BM25),2026558,AP(rel=2)@100,0.007032542746828461
BR(BM25),2027130,nDCG@10,0.2338366549077482
BR(BM25),2027130,AP(rel=2)@100,0.0075880829870361936
BR(BM25),2027497,nDCG@10,0.4334739949321355
BR(BM25),2027497,AP(rel=2)@100,0.0
BR(BM25),2028378,nDCG@10,0.36729481132171
BR(BM25),2028378,AP(rel=2)@100,0.01021825681911442
BR(BM25),2029260,nDCG@10,0.21222636597291455
BR(BM25),2029260,AP(rel=2)@100,0.003067484662576687
BR(BM25),2030323,nDCG@10,0.31212640393368274
BR(BM25),2030323,AP(rel=2)@100,0.009744645292380697
BR(BM25),2030608,nDCG@10,0.23623918351356465
BR(BM25),2030608,AP(rel=2)@100,0.02863586735944912
BR(BM25),2031726,nDCG@10,0.7918577366835023
BR(BM25),2031726,AP(rel=2)@100,0.055425645759389054
BR(BM25),2032090,nDCG@10,0.550539418053571
BR(BM25),2032090,AP(rel=2)@100,0.022479168212051526
BR(BM25),2032949,nDCG@10,0.0
BR(BM25),2032949,AP(rel=2)@100,0.0
BR(BM25),2032956,nDCG@10,0.0
BR(BM25),2032956,AP(rel=2)@100,0.0
BR(BM25),2033232,nDCG@10,0.0
BR(BM25),2033232,AP(rel=2)@100,0.0
BR(BM25),2033396,nDCG@10,0.28323476854024077
BR(BM25),2033396,AP(rel=2)@100,0.0322191285299897
BR(BM25),2033470,nDCG@10,0.02120692939965057
BR(BM25),2033470,AP(rel=2)@100,0.007787602070962545
BR(BM25),2034205,nDCG@10,0.38232535746121526
BR(BM25),2034205,AP(rel=2)@100,0.006215534884466044
BR(BM25),2034676,nDCG@10,0.18293786439419102
BR(BM25),2034676,AP(rel=2)@100,0.002405002405002405
BR(BM25),2035009,nDCG@10,0.0
BR(BM25),2035009,AP(rel=2)@100,0.0
BR(BM25),2035447,nDCG@10,0.0
BR(BM25),2035447,AP(rel=2)@100,0.0005417118093174431
BR(BM25),2035565,nDCG@10,0.1932672260499698
BR(BM25),2035565,AP(rel=2)@100,0.0152396290303899
BR(BM25),2036182,nDCG@10,0.5318103940994758
BR(BM25),2036182,AP(rel=2)@100,0.08508291589093055
BR(BM25),2036968,nDCG@10,0.0746685205050585
BR(BM25),2036968,AP(rel=2)@100,0.0009078565113047871
BR(BM25),2037251,nDCG@10,0.06827808250619695
BR(BM25),2037251,AP(rel=2)@100,0.0007422124783045583
BR(BM25),2037609,nDCG@10,0.0
BR(BM25),2037609,AP(rel=2)@100,0.002869285186358357
BR(BM25),2037924,nDCG@10,0.09257496258236969
BR(BM25),2037924,AP(rel=2)@100,0.06509482424522366
BR(BM25),2038466,nDCG@10,0.4687959711964056
BR(BM25),2038466,AP(rel=2)@100,0.08416854884246189
BR(BM25),2038890,nDCG@10,0.40420818567774347
BR(BM25),2038890,AP(rel=2)@100,0.23588971910889717
BR(BM25),2039908,nDCG@10,0.0
BR(BM25),2039908,AP(rel=2)@100,0.00036885245901639344
BR(BM25),2040287,nDCG@10,0.04435067004524299
BR(BM25),2040287,AP(rel=2)@100,0.0036656601247440157
BR(BM25),2040352,nDCG@10,0.35895421017163465
BR(BM25),2040352,AP(rel=2)@100,0.040951392452302095
BR(BM25),2040613,nDCG@10,0.5541432109622957
BR(BM25),2040613,AP(rel=2)@100,0.08071557594113986
BR(BM25),2043895,nDCG@10,0.3403743725051168
BR(BM25),2043895,AP(rel=2)@100,0.03647488389535695
BR(BM25),2044423,nDCG@10,0.04416948230292602
BR(BM25),2044423,AP(rel=2)@100,0.02140876744690873
BR(BM25),2045272,nDCG@10,0.35487373741069117
BR(BM25),2045272,AP(rel=2)@100,0.02293405018771895
BR(BM25),2046371,nDCG@10,0.10436045977312641
BR(BM25),2046371,AP(rel=2)@100,0.0018895192079549624
BR(BM25),2049417,nDCG@10,0.0
BR(BM25),2049417,AP(rel=2)@100,0.008844569973989512
BR(BM25),2049687,nDCG@10,0.1261011002253899
BR(BM25),2049687,AP(rel=2)@100,0.004838545618106705
BR(BM25),2053884,nDCG@10,0.06625422345438903
BR(BM25),2053884,AP(rel=2)@100,0.003968253968253968
BR(BM25),2054355,nDCG@10,0.12397244586538116
BR(BM25),2054355,AP(rel=2)@100,0.022960959845326975
BR(BM25),2055211,nDCG@10,0.7861079708404246
BR(BM25),2055211,AP(rel=2)@100,0.28330658740040726
BR(BM25),2055480,nDCG@10,0.2520389619239715
BR(BM25),2055480,AP(rel=2)@100,0.08834954169461211
BR(BM25),2055634,nDCG@10,0.4438536686990028
BR(BM25),2055634,AP(rel=2)@100,0.056328130443762635
BR(BM25),2055795,nDCG@10,0.1638208856934709
BR(BM25),2055795,AP(rel=2)@100,0.04563725103393743
BR(BM25),2056158,nDCG@10,0.4445733261287779
BR(BM25),2056158,AP(rel=2)@100,0.03485101371305687
BR(BM25),2056323,nDCG@10,0.3373920471271438
BR(BM25),2056323,AP(rel=2)@100,0.03072326950375731
